,Artist,DOB,ArtistURL
84,The Countdown Singers,"Formed              1994                 in Quebec, Canada",https://www.allmusic.com/artist/the-countdown-singers-mn0000784073
85,Discipline,?,https://www.allmusic.com/artist/discipline-mn0001368488
86,Nicola Sirkis,?,https://www.allmusic.com/artist/nicola-sirkis-mn0000639613
87,Joan Armatrading,"December 9, 1950                 in Basseterre, St. Kitts",https://www.allmusic.com/artist/joan-armatrading-mn0000133969
88,The Irresponsibles,?,https://www.allmusic.com/artist/the-irresponsibles-mn0001344699
89,ProjeKct Four,?,https://www.allmusic.com/artist/projekct-four-mn0001907940
90,2Pac / Outlawz,"June 16, 1971                 in New York City, NY",https://www.allmusic.com/artist/2pac-mn0000921895
91,Mike Oldfield,"May 15, 1953                 in Reading, Berkshire, England",https://www.allmusic.com/artist/mike-oldfield-mn0000489520
92,Artie Traum,"April 3, 1943                 in Bronx, NY",https://www.allmusic.com/artist/artie-traum-mn0000260408
93,Joe Dolan,"October 16, 1939                 in Mullingar, County Westmeath, Ireland",https://www.allmusic.com/artist/joe-dolan-mn0000519877
94,Jerry Lee Lewis,"September 29, 1935                 in Ferriday, LA",https://www.allmusic.com/artist/jerry-lee-lewis-mn0000332141
95,Mack 10,"August 9, 1971                 in Inglewood, CA",https://www.allmusic.com/artist/mack-10-mn0000186978
96,DJ Clue?,"January 8, 1975                 in Queens, NY",https://www.allmusic.com/artist/dj-clue--mn0000659878
97,Monty Montgomery,?,https://www.allmusic.com/artist/monty-montgomery-mn0001937246
98,Rob Fetters,?,https://www.allmusic.com/artist/rob-fetters-mn0000414444
99,Christopher Young,"April 28, 1958                 in Redbanks, NJ",https://www.allmusic.com/artist/christopher-young-mn0000099641
100,Curd Duca,?,https://www.allmusic.com/artist/curd-duca-mn0000784319
101,Ivano Fossati,"September 21, 1951                 in Genoa, Italy",https://www.allmusic.com/artist/ivano-fossati-mn0000111602
102,Michael Prophet,"March 3, 1957                 in Kingston, Jamaica",https://www.allmusic.com/artist/michael-prophet-mn0000471324
103,Rick Derringer,"August 5, 1947                 in Celina, OH",https://www.allmusic.com/artist/rick-derringer-mn0000301404
104,Alfonzo Hunter,ca. 1973,https://www.allmusic.com/artist/alfonzo-hunter-mn0000742800
105,Gutterball,?,https://www.allmusic.com/artist/gutterball-mn0000945315
106,Vowel Movement,?,https://www.allmusic.com/artist/vowel-movement-mn0001640963
107,Al Kooper,"February 5, 1944                 in Brooklyn, NY",https://www.allmusic.com/artist/al-kooper-mn0000509524
108,Love Is Colder than Death,?,https://www.allmusic.com/artist/love-is-colder-than-death-mn0000298841
109,The Elvis Brothers,"Formed              1980                 in Champaign, IL",https://www.allmusic.com/artist/the-elvis-brothers-mn0001455483
110,S.F.C.,?,https://www.allmusic.com/artist/sfc-mn0000283534
111,Gospel Gangstaz,?,https://www.allmusic.com/artist/gospel-gangstaz-mn0000951062
112,WC and the Maad Circle,?,https://www.allmusic.com/artist/wc-and-the-maad-circle-mn0002290402
113,Scarface,"November 9, 1970                 in Houston, TX",https://www.allmusic.com/artist/scarface-mn0000315463
114,Santa Sabina,?,https://www.allmusic.com/artist/santa-sabina-mn0000245387
115,Raisins,?,https://www.allmusic.com/artist/raisins-mn0001208288
116,Stephen Bishop,"November 14, 1951                 in San Diego, CA",https://www.allmusic.com/artist/stephen-bishop-mn0000023925
117,Kindred Way,?,https://www.allmusic.com/artist/kindred-way-mn0001932296
118,Big Daddy Kane,"September 10, 1968                 in Brooklyn, NY",https://www.allmusic.com/artist/big-daddy-kane-mn0000050434
119,Sister Carol,"January 15, 1959                 in Kingston, Jamaica",https://www.allmusic.com/artist/sister-carol-mn0000012570
120,Forward,?,https://www.allmusic.com/artist/forward-mn0001250429
121,Smiley Lewis,"July 5, 1913                 in DeQuincy, LA",https://www.allmusic.com/artist/smiley-lewis-mn0000029758
122,Anathema,"Formed              1990                 in Liverpool, Lancashire, England",https://www.allmusic.com/artist/anathema-mn0000749333
123,Zimbabwe Legit,"Formed                                               in Zimbabwe, Africa",https://www.allmusic.com/artist/zimbabwe-legit-mn0000600977
124,Force M.D.'s,"Formed              1983                 in Staten Island, NY",https://www.allmusic.com/artist/force-mds-mn0000659295
125,Mac Band,"Formed                                               in Los Angeles, CA",https://www.allmusic.com/artist/mac-band-mn0000224448
126,Chris Cuevas,?,https://www.allmusic.com/artist/chris-cuevas-mn0000775409
127,Funkytown Pros,?,https://www.allmusic.com/artist/funkytown-pros-mn0002133999
128,HEAL,?,https://www.allmusic.com/artist/heal-mn0000657758
129,Andrew Dice Clay,"September 29, 1957                 in Brooklyn, NY",https://www.allmusic.com/artist/andrew-dice-clay-mn0000752150
130,Jerry Harrison,"February 21, 1949                 in Milwaukee, WI",https://www.allmusic.com/artist/jerry-harrison-mn0000330961
131,Iron Christ,?,https://www.allmusic.com/artist/iron-christ-mn0000772605
132,Scruffy the Cat,"Formed              1984                 in Boston, MA",https://www.allmusic.com/artist/scruffy-the-cat-mn0000838904
133,Max Q,"Formed              1989                 in Melbourne, Australia",https://www.allmusic.com/artist/max-q-mn0000866982
134,Jody Watley,"January 30, 1959                 in Chicago, IL",https://www.allmusic.com/artist/jody-watley-mn0000137084
135,The Cucumbers,"Formed              1982                 in Hoboken, NJ",https://www.allmusic.com/artist/the-cucumbers-mn0000136341
136,Captain Lou Albano / NRBQ,?,https://www.allmusic.com/artist/captain-lou-albano-mn0000646917
137,Pia Zadora,"May 4, 1954                 in Hoboken, NJ",https://www.allmusic.com/artist/pia-zadora-mn0000846557
138,Scott Merritt,?,https://www.allmusic.com/artist/scott-merritt-mn0000300208
139,Whitesnake,"Formed              1978                 in Middlesbrough, Yorkshire, England",https://www.allmusic.com/artist/whitesnake-mn0000251595
140,Certain General,?,https://www.allmusic.com/artist/certain-general-mn0000801157
141,Peter Wolf,"March 7, 1946                 in New York City, NY",https://www.allmusic.com/artist/peter-wolf-mn0000682958
142,Steve Hillage,"August 2, 1951                 in London, England",https://www.allmusic.com/artist/steve-hillage-mn0000038672
143,Ryuichi Sakamoto / Robin Scott,"January 17, 1952                 in Tokyo, Japa",https://www.allmusic.com/artist/ryuichi-sakamoto-mn0000587608
144,David Byrne,"May 14, 1952                 in Dumbarton, Scotland",https://www.allmusic.com/artist/david-byrne-mn0000197364
145,The Music Emporium,?,https://www.allmusic.com/artist/the-music-emporium-mn0000516774
146,Bill Wolfer,?,https://www.allmusic.com/artist/bill-wolfer-mn0000080681
147,Debbie Reynolds,"April 1, 1932                 in El Paso, TX",https://www.allmusic.com/artist/debbie-reynolds-mn0000233035
148,Yoga Pop Ups,?,https://www.allmusic.com/artist/yoga-pop-ups-mn0002637916
149,Edensong,?,https://www.allmusic.com/artist/edensong-mn0002013230
150,UniKuE,?,https://www.allmusic.com/artist/unikue-mn0003701604
151,The Mastelottos,?,https://www.allmusic.com/artist/the-mastelottos-mn0004017148
152,Raphaël Haroche / Raphaël,?,https://www.allmusic.com/artist/rapha%C3%ABl-haroche-mn0001957708
153,The Crimson Projekct,?,https://www.allmusic.com/artist/the-crimson-projekct-mn0003133258
154,Troy Jones,?,https://www.allmusic.com/artist/troy-jones-mn0001947232
155,Nonch Harpin',?,https://www.allmusic.com/artist/nonch-harpin-mn0003589669
156,Music Box Mania,?,https://www.allmusic.com/artist/music-box-mania-mn0003682438
157,Twinkle Twinkle Little Rock Star,?,https://www.allmusic.com/artist/twinkle-twinkle-little-rock-star-mn0002500596
158,Adrian Belew / Stewart Copeland / Vittorio Cosma / Mark King,"December 23, 1949                 in Covington, KY",https://www.allmusic.com/artist/adrian-belew-mn0000498577
159,Tim Reynolds / TR3,"December 15, 1957                 in Wiesbaden, Germany",https://www.allmusic.com/artist/tim-reynolds-mn0000594343
160,Delta Saxophone Quartet,Formed              1984,https://www.allmusic.com/artist/delta-saxophone-quartet-mn0000490084
161,Mia Love,?,https://www.allmusic.com/artist/mia-love-mn0003595046
